drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
FUROSEMIDE.,WEIGHT INCREASED,4,9.54,3.31,27.5,FUROSEMIDE. + WEIGHT INCREASED
TRAZODONE,INSOMNIA,4,9.54,3.32,27.4,TRAZODONE + INSOMNIA
HYDROXYUREA,PLATELET COUNT DECREASED,5,9.51,3.66,24.73,HYDROXYUREA + PLATELET COUNT DECREASED
METOPROLOL,FLATULENCE,4,9.51,3.33,27.16,METOPROLOL + FLATULENCE
OXYCONTIN,PLATELET COUNT DECREASED,3,9.51,2.79,32.45,OXYCONTIN + PLATELET COUNT DECREASED
HYDROXYUREA,WEIGHT DECREASED,4,9.46,3.3,27.11,HYDROXYUREA + WEIGHT DECREASED
DRONEDARONE,EPISTAXIS,3,9.46,2.87,31.12,DRONEDARONE + EPISTAXIS
VITAMIN B12,ANAEMIA,6,9.45,3.87,23.05,VITAMIN B12 + ANAEMIA
ASA,ANAEMIA,6,9.45,3.87,23.05,ASA + ANAEMIA
PREDNISONE,TRANSFUSION,4,9.39,3.28,26.89,PREDNISONE + TRANSFUSION
EVEROLIMUS,DIARRHOEA,3,9.33,2.56,34.08,EVEROLIMUS + DIARRHOEA
BEVACIZUMAB,DIARRHOEA,3,9.33,2.56,34.08,BEVACIZUMAB + DIARRHOEA
DEPAKOTE,TREMOR,8,9.31,4.38,19.79,DEPAKOTE + TREMOR
KEPPRA,GAIT DISTURBANCE,3,9.31,2.82,30.77,KEPPRA + GAIT DISTURBANCE
ASPIRIN,UNRESPONSIVE TO STIMULI,3,9.28,2.58,33.46,ASPIRIN + UNRESPONSIVE TO STIMULI
NORCO,VOMITING,4,9.26,3.14,27.31,NORCO + VOMITING
TRAZODONE,DEPRESSION,3,9.25,2.79,30.7,TRAZODONE + DEPRESSION
AMITRIPTYLINE,INSOMNIA,4,9.24,3.22,26.49,AMITRIPTYLINE + INSOMNIA
PREDNISONE,NEPHROGENIC SYSTEMIC FIBROSIS,3,9.23,2.75,30.95,PREDNISONE + NEPHROGENIC SYSTEMIC FIBROSIS
BENADRYL,VOMITING,3,9.22,2.65,32.08,BENADRYL + VOMITING
VALIUM,ANAEMIA,4,9.21,3.11,27.29,VALIUM + ANAEMIA
DILTIAZEM,ASTHENIA,5,9.21,3.49,24.28,DILTIAZEM + ASTHENIA
NEURONTIN,ABDOMINAL PAIN UPPER,3,9.2,2.78,30.43,NEURONTIN + ABDOMINAL PAIN UPPER
SIMVASTATIN.,OFF LABEL USE,4,9.19,3.2,26.38,SIMVASTATIN. + OFF LABEL USE
ATORVASTATIN,URINARY TRACT INFECTION,5,9.13,3.58,23.23,ATORVASTATIN + URINARY TRACT INFECTION
JAKAFI,ORAL PAIN,4,9.09,2.03,40.67,JAKAFI + ORAL PAIN
METHOTREXATE,NEUTROPENIA,3,9.07,2.73,30.08,METHOTREXATE + NEUTROPENIA
XANAX,BACK PAIN,5,9.06,3.55,23.11,XANAX + BACK PAIN
JAKAFI,TRANSFUSION,21,9.06,4.71,17.4,JAKAFI + TRANSFUSION
TEGRETOL,FALL,3,9.03,2.66,30.69,TEGRETOL + FALL
CLARITIN CHEWABLE TABLETS,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,4,9.02,3.18,25.56,CLARITIN CHEWABLE TABLETS + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
ENBREL,ARTHRALGIA,8,9.01,4.25,19.11,ENBREL + ARTHRALGIA
MULTIVITAMIN,HAEMOGLOBIN DECREASED,8,9.0,4.21,19.21,MULTIVITAMIN + HAEMOGLOBIN DECREASED
OXALIPLATIN,NAUSEA,6,8.99,3.59,22.54,OXALIPLATIN + NAUSEA
OMEPRAZOLE,HYPERHIDROSIS,7,8.97,4.01,20.08,OMEPRAZOLE + HYPERHIDROSIS
CELEBREX,CONSTIPATION,4,8.96,3.17,25.33,CELEBREX + CONSTIPATION
AVONEX,GAIT DISTURBANCE,9,8.95,4.39,18.24,AVONEX + GAIT DISTURBANCE
TYSABRI,BALANCE DISORDER,4,8.95,3.15,25.45,TYSABRI + BALANCE DISORDER
WARFARIN,DRY MOUTH,3,8.94,2.7,29.55,WARFARIN + DRY MOUTH
MIRALAX,OFF LABEL USE,4,8.9,3.11,25.51,MIRALAX + OFF LABEL USE
KEPPRA,FEELING ABNORMAL,4,8.89,3.12,25.35,KEPPRA + FEELING ABNORMAL
OXYTROL FOR WOMEN,ERYTHEMA,6,8.89,3.76,20.99,OXYTROL FOR WOMEN + ERYTHEMA
TOPROL XL,PAIN IN EXTREMITY,3,8.88,2.65,29.76,TOPROL XL + PAIN IN EXTREMITY
PREDNISONE,SKIN LESION,3,8.87,2.65,29.69,PREDNISONE + SKIN LESION
ZANTAC,HAEMOGLOBIN DECREASED,3,8.87,2.61,30.12,ZANTAC + HAEMOGLOBIN DECREASED
DEPAKOTE,ALOPECIA,7,8.86,3.98,19.73,DEPAKOTE + ALOPECIA
LANSOPRAZOLE DR CAPSULES 15MG OTC,DRUG INEFFECTIVE,5,8.85,3.06,25.56,LANSOPRAZOLE DR CAPSULES 15MG OTC + DRUG INEFFECTIVE
NORVASC,BLOOD COUNT ABNORMAL,3,8.84,2.69,29.01,NORVASC + BLOOD COUNT ABNORMAL
SPIRONOLACTONE,GAIT DISTURBANCE,3,8.83,2.68,29.12,SPIRONOLACTONE + GAIT DISTURBANCE
LAMICTAL,INSOMNIA,3,8.81,2.63,29.53,LAMICTAL + INSOMNIA
TOPROL XL,INSOMNIA,3,8.81,2.63,29.53,TOPROL XL + INSOMNIA
XTANDI,DEATH,3,8.81,2.44,31.73,XTANDI + DEATH
LANSOPRAZOLE,CHEST PAIN,3,8.79,2.64,29.32,LANSOPRAZOLE + CHEST PAIN
HYDROXYUREA,BACK PAIN,3,8.79,2.66,29.1,HYDROXYUREA + BACK PAIN
LETAIRIS,THROAT IRRITATION,18,8.79,4.05,19.08,LETAIRIS + THROAT IRRITATION
JAKAFI,ADVERSE DRUG REACTION,14,8.74,3.96,19.29,JAKAFI + ADVERSE DRUG REACTION
LEVOXYL,ANAEMIA,3,8.71,2.5,30.31,LEVOXYL + ANAEMIA
BENADRYL,ANAEMIA,3,8.71,2.5,30.31,BENADRYL + ANAEMIA
YAZ,CEREBROVASCULAR ACCIDENT,3,8.7,2.65,28.57,YAZ + CEREBROVASCULAR ACCIDENT
HYDROCHLOROTHIAZIDE,ABDOMINAL PAIN UPPER,4,8.66,3.06,24.49,HYDROCHLOROTHIAZIDE + ABDOMINAL PAIN UPPER
XANAX,PULMONARY EMBOLISM,3,8.66,2.64,28.43,XANAX + PULMONARY EMBOLISM
XANAX,ABDOMINAL DISTENSION,3,8.66,2.64,28.43,XANAX + ABDOMINAL DISTENSION
AMITRIPTYLINE,WEIGHT INCREASED,4,8.65,3.02,24.77,AMITRIPTYLINE + WEIGHT INCREASED
HUMIRA,FEELING HOT,3,8.64,2.6,28.73,HUMIRA + FEELING HOT
PROMETHAZINE,VOMITING,3,8.64,2.5,29.88,PROMETHAZINE + VOMITING
LORTAB,VOMITING,3,8.64,2.5,29.88,LORTAB + VOMITING
ZOMETA,FATIGUE,4,8.64,2.7,27.65,ZOMETA + FATIGUE
MICARDIS,MALAISE,3,8.63,2.42,30.76,MICARDIS + MALAISE
HYDREA,HAEMOGLOBIN DECREASED,7,8.63,3.85,19.33,HYDREA + HAEMOGLOBIN DECREASED
XARELTO,PULMONARY EMBOLISM,4,8.61,3.05,24.28,XARELTO + PULMONARY EMBOLISM
FOSAMAX,PLATELET COUNT DECREASED,3,8.6,2.54,29.12,FOSAMAX + PLATELET COUNT DECREASED
AMOXICILLIN,DRUG INTERACTION,3,8.58,2.57,28.59,AMOXICILLIN + DRUG INTERACTION
LISINOPRIL,DEHYDRATION,6,8.56,3.62,20.26,LISINOPRIL + DEHYDRATION
HYDROXYUREA,ANAEMIA,6,8.53,3.52,20.66,HYDROXYUREA + ANAEMIA
JAKAFI,INCREASED TENDENCY TO BRUISE,5,8.53,2.29,31.81,JAKAFI + INCREASED TENDENCY TO BRUISE
VICODIN,PAIN IN EXTREMITY,4,8.51,2.98,24.29,VICODIN + PAIN IN EXTREMITY
ASPIRIN,ANGINA PECTORIS,3,8.51,2.39,30.32,ASPIRIN + ANGINA PECTORIS
OMEPRAZOLE.,PYREXIA,3,8.49,2.51,28.76,OMEPRAZOLE. + PYREXIA
ZYRTEC,HAEMOGLOBIN DECREASED,4,8.49,2.94,24.47,ZYRTEC + HAEMOGLOBIN DECREASED
COLCHICINE,DIARRHOEA,3,8.48,2.36,30.56,COLCHICINE + DIARRHOEA
SYNTHROID,DEEP VEIN THROMBOSIS,4,8.48,2.98,24.1,SYNTHROID + DEEP VEIN THROMBOSIS
PREDNISONE.,INSOMNIA,3,8.47,2.53,28.33,PREDNISONE. + INSOMNIA
REMODULIN,UNEVALUABLE EVENT,8,8.46,4.0,17.88,REMODULIN + UNEVALUABLE EVENT
LEVOTHYROXINE,HAEMOGLOBIN DECREASED,14,8.45,4.73,15.09,LEVOTHYROXINE + HAEMOGLOBIN DECREASED
VITAMIN D,ADVERSE EVENT,3,8.45,2.55,27.94,VITAMIN D + ADVERSE EVENT
PRAVASTATIN,ARTHRALGIA,3,8.42,2.53,28.01,PRAVASTATIN + ARTHRALGIA
XELODA,HYPERTENSION,3,8.41,2.56,27.66,XELODA + HYPERTENSION
HYDREA,WEIGHT INCREASED,6,8.4,3.55,19.92,HYDREA + WEIGHT INCREASED
SERTRALINE,SOMNOLENCE,3,8.39,2.54,27.69,SERTRALINE + SOMNOLENCE
HYDROXYUREA,DECREASED APPETITE,3,8.36,2.53,27.67,HYDROXYUREA + DECREASED APPETITE
EXTRANEAL,HYPOTENSION,3,8.33,2.53,27.48,EXTRANEAL + HYPOTENSION
CALCIUM,HAEMOGLOBIN DECREASED,9,8.32,4.08,16.99,CALCIUM + HAEMOGLOBIN DECREASED
VALPROIC ACID,DRUG INEFFECTIVE,3,8.31,2.14,32.23,VALPROIC ACID + DRUG INEFFECTIVE
AMOXICILLIN,WEIGHT DECREASED,3,8.3,2.49,27.66,AMOXICILLIN + WEIGHT DECREASED
AUBAGIO,NAUSEA,5,8.3,3.06,22.5,AUBAGIO + NAUSEA
FUROSEMIDE,HAEMOGLOBIN DECREASED,10,8.29,4.21,16.35,FUROSEMIDE + HAEMOGLOBIN DECREASED
ASA,DRUG HYPERSENSITIVITY,3,8.29,2.5,27.5,ASA + DRUG HYPERSENSITIVITY
SPIRONOLACTONE,ABDOMINAL PAIN UPPER,3,8.25,2.5,27.17,SPIRONOLACTONE + ABDOMINAL PAIN UPPER
LOSARTAN,LOCAL SWELLING,3,8.24,2.51,27.01,LOSARTAN + LOCAL SWELLING
MULTIVITAMIN,BLOOD COUNT ABNORMAL,3,8.23,2.51,26.98,MULTIVITAMIN + BLOOD COUNT ABNORMAL
LETAIRIS,SWELLING,48,8.21,5.16,13.06,LETAIRIS + SWELLING
ACLASTA,FALL,3,8.21,2.43,27.7,ACLASTA + FALL
GABAPENTIN,ALOPECIA,4,8.18,2.91,23.04,GABAPENTIN + ALOPECIA
FISH OIL,THROMBOCYTOPENIA,3,8.18,2.49,26.83,FISH OIL + THROMBOCYTOPENIA
FERROUS SULFATE,ANAEMIA,3,8.17,2.36,28.23,FERROUS SULFATE + ANAEMIA
AUBAGIO,PAIN,4,8.16,2.76,24.15,AUBAGIO + PAIN
VITAMIN D3,WEIGHT INCREASED,4,8.14,2.85,23.23,VITAMIN D3 + WEIGHT INCREASED
ZYRTEC,ANAEMIA,5,8.13,3.1,21.31,ZYRTEC + ANAEMIA
AMBIEN,DEPRESSION,4,8.12,2.88,22.93,AMBIEN + DEPRESSION
TYVASO,EAR INFECTION,3,8.12,2.39,27.56,TYVASO + EAR INFECTION
ATENOLOL,PLATELET COUNT DECREASED,8,8.11,3.82,17.23,ATENOLOL + PLATELET COUNT DECREASED
CODEINE SULFATE,NAUSEA,3,8.11,2.25,29.2,CODEINE SULFATE + NAUSEA
CRESTOR,GASTROINTESTINAL HAEMORRHAGE,3,8.1,2.47,26.53,CRESTOR + GASTROINTESTINAL HAEMORRHAGE
XALATAN,DEATH,4,8.09,2.69,24.36,XALATAN + DEATH
LETAIRIS,UPPER RESPIRATORY TRACT CONGESTION,5,8.08,1.93,33.86,LETAIRIS + UPPER RESPIRATORY TRACT CONGESTION
ASCORBIC ACID,FATIGUE,3,8.08,2.14,30.56,ASCORBIC ACID + FATIGUE
PROLIA,BACK PAIN,3,8.08,2.45,26.63,PROLIA + BACK PAIN
REVATIO,THROAT IRRITATION,4,8.06,2.77,23.45,REVATIO + THROAT IRRITATION
CELEXA,HAEMOGLOBIN DECREASED,3,8.06,2.39,27.18,CELEXA + HAEMOGLOBIN DECREASED
CELEBREX,DRUG HYPERSENSITIVITY,5,8.05,3.16,20.51,CELEBREX + DRUG HYPERSENSITIVITY
TYVASO,BRONCHITIS,7,8.05,3.59,18.03,TYVASO + BRONCHITIS
PEGASYS,PNEUMONIA,3,8.05,2.42,26.8,PEGASYS + PNEUMONIA
ZOFRAN,PNEUMONIA,3,8.05,2.42,26.8,ZOFRAN + PNEUMONIA
MORPHINE,VOMITING,4,8.05,2.76,23.47,MORPHINE + VOMITING
LETAIRIS,OEDEMA PERIPHERAL,72,8.04,5.52,11.71,LETAIRIS + OEDEMA PERIPHERAL
REVATIO,OXYGEN SATURATION DECREASED,3,8.03,2.35,27.46,REVATIO + OXYGEN SATURATION DECREASED
REVATIO,DYSPHONIA,3,8.03,2.35,27.46,REVATIO + DYSPHONIA
DEPAKOTE,NERVOUSNESS,3,8.02,2.41,26.65,DEPAKOTE + NERVOUSNESS
EXEMESTANE,HEADACHE,3,8.01,2.16,29.7,EXEMESTANE + HEADACHE
ADVAIR,TREMOR,3,8.01,2.44,26.24,ADVAIR + TREMOR
ASPIRIN,SPLENOMEGALY,9,8.0,3.84,16.68,ASPIRIN + SPLENOMEGALY
METOPROLOL,BLOOD PRESSURE INCREASED,5,7.98,3.13,20.32,METOPROLOL + BLOOD PRESSURE INCREASED
ZOLOFT,DEPRESSION,4,7.96,2.82,22.46,ZOLOFT + DEPRESSION
FUROSEMIDE,WRONG TECHNIQUE IN DRUG USAGE PROCESS,3,7.95,2.42,26.08,FUROSEMIDE + WRONG TECHNIQUE IN DRUG USAGE PROCESS
DIANEAL LOW CALCIUM,ABDOMINAL DISTENSION,8,7.94,3.73,16.93,DIANEAL LOW CALCIUM + ABDOMINAL DISTENSION
BISOPROLOL,CHEST PAIN,3,7.94,2.39,26.33,BISOPROLOL + CHEST PAIN
SYNTHROID,DYSPNOEA EXERTIONAL,3,7.94,2.39,26.33,SYNTHROID + DYSPNOEA EXERTIONAL
TRICOR,TYPE 2 DIABETES MELLITUS,4,7.94,2.48,25.41,TRICOR + TYPE 2 DIABETES MELLITUS
SPIRIVA,CHEST DISCOMFORT,4,7.89,2.8,22.25,SPIRIVA + CHEST DISCOMFORT
ISONIAZID,DYSPNOEA,3,7.88,2.03,30.58,ISONIAZID + DYSPNOEA
TYVASO,CHEST DISCOMFORT,7,7.88,3.52,17.65,TYVASO + CHEST DISCOMFORT
ASPIRIN,CONTUSION,16,7.88,4.52,13.72,ASPIRIN + CONTUSION
ASA,ARTHRALGIA,3,7.87,2.37,26.11,ASA + ARTHRALGIA
MAGNESIUM,NAUSEA,5,7.86,2.92,21.19,MAGNESIUM + NAUSEA
NORCO,NAUSEA,5,7.86,2.92,21.19,NORCO + NAUSEA
VENTAVIS,COUGH,6,7.86,3.29,18.82,VENTAVIS + COUGH
JAKAFI,ANAEMIA,117,7.86,6.02,10.27,JAKAFI + ANAEMIA
VITAMIN B12,FATIGUE,9,7.85,3.64,16.92,VITAMIN B12 + FATIGUE
REVLIMID,THROMBOCYTOPENIA,3,7.85,2.4,25.71,REVLIMID + THROMBOCYTOPENIA
POTASSIUM,ABDOMINAL PAIN UPPER,3,7.85,2.39,25.79,POTASSIUM + ABDOMINAL PAIN UPPER
RANITIDINE,PRURITUS,3,7.83,2.36,26.02,RANITIDINE + PRURITUS
TYSABRI,GAIT DISTURBANCE,7,7.82,3.53,17.32,TYSABRI + GAIT DISTURBANCE
SEROQUEL,ABDOMINAL PAIN,3,7.82,2.34,26.12,SEROQUEL + ABDOMINAL PAIN
FLOMAX,ABDOMINAL PAIN,3,7.82,2.34,26.12,FLOMAX + ABDOMINAL PAIN
DEPAKOTE,BALANCE DISORDER,4,7.8,2.75,22.13,DEPAKOTE + BALANCE DISORDER
METHOTREXATE,THROMBOCYTOPENIA,4,7.8,2.76,22.0,METHOTREXATE + THROMBOCYTOPENIA
PREDNISONE,BRONCHITIS,5,7.79,3.06,19.87,PREDNISONE + BRONCHITIS
AMITRIPTYLINE,ANXIETY,3,7.79,2.35,25.75,AMITRIPTYLINE + ANXIETY
PANTOPRAZOLE,CONSTIPATION,3,7.78,2.37,25.5,PANTOPRAZOLE + CONSTIPATION
LITHIUM,DIARRHOEA,3,7.78,2.18,27.7,LITHIUM + DIARRHOEA
LETAIRIS,RESPIRATORY TRACT CONGESTION,8,7.77,2.54,23.79,LETAIRIS + RESPIRATORY TRACT CONGESTION
VITAMIN D,FLATULENCE,3,7.76,2.35,25.57,VITAMIN D + FLATULENCE
REVLIMID,PNEUMONIA,7,7.71,3.48,17.11,REVLIMID + PNEUMONIA
OXYTROL FOR WOMEN,PRURITUS,10,7.71,3.93,15.11,OXYTROL FOR WOMEN + PRURITUS
PERCOCET,MALAISE,4,7.7,2.59,22.89,PERCOCET + MALAISE
EPOPROSTENOL.,MALAISE,4,7.7,2.59,22.89,EPOPROSTENOL. + MALAISE
FOLIC ACID,BLISTER,3,7.69,2.32,25.46,FOLIC ACID + BLISTER
PREDNISONE,WHEEZING,3,7.69,2.32,25.51,PREDNISONE + WHEEZING
DOXORUBICIN,VOMITING,3,7.68,2.24,26.27,DOXORUBICIN + VOMITING
AUBAGIO,FATIGUE,6,7.65,3.0,19.5,AUBAGIO + FATIGUE
SIMVASTATIN.,ARTHRALGIA,3,7.63,2.3,25.25,SIMVASTATIN. + ARTHRALGIA
NEXIUM,ALOPECIA,3,7.62,2.33,24.93,NEXIUM + ALOPECIA
PROTONIX,PLATELET COUNT DECREASED,5,7.6,2.96,19.52,PROTONIX + PLATELET COUNT DECREASED
RAMIPRIL,MUSCLE SPASMS,3,7.6,2.31,24.95,RAMIPRIL + MUSCLE SPASMS
IBUPROFEN,ERYTHEMA,3,7.59,2.32,24.84,IBUPROFEN + ERYTHEMA
RANITIDINE,INSOMNIA,3,7.59,2.28,25.23,RANITIDINE + INSOMNIA
CYCLOPHOSPHAMIDE,DRUG INEFFECTIVE,13,7.55,3.96,14.39,CYCLOPHOSPHAMIDE + DRUG INEFFECTIVE
DIANEAL LOW CALCIUM,HYPOTENSION,12,7.53,4.05,14.03,DIANEAL LOW CALCIUM + HYPOTENSION
ASPIRIN,GASTROINTESTINAL HAEMORRHAGE,11,7.52,3.88,14.59,ASPIRIN + GASTROINTESTINAL HAEMORRHAGE
TYVASO,SINUSITIS,8,7.52,3.54,15.97,TYVASO + SINUSITIS
LOVASTATIN,DIZZINESS,3,7.51,2.09,27.03,LOVASTATIN + DIZZINESS
TRAZODONE,DRUG INTERACTION,3,7.5,2.27,24.83,TRAZODONE + DRUG INTERACTION
METOPROLOL,TRANSFUSION,3,7.49,2.27,24.73,METOPROLOL + TRANSFUSION
FUROSEMIDE,DRUG INTERACTION,7,7.48,3.38,16.57,FUROSEMIDE + DRUG INTERACTION
LYRICA,DRUG WITHDRAWAL SYNDROME,3,7.48,2.22,25.14,LYRICA + DRUG WITHDRAWAL SYNDROME
LEXAPRO,WEIGHT INCREASED,4,7.47,2.63,21.25,LEXAPRO + WEIGHT INCREASED
CELEXA,NAUSEA,5,7.47,2.79,20.03,CELEXA + NAUSEA
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,4,7.46,2.65,20.99,WARFARIN + GASTROINTESTINAL HAEMORRHAGE
FISH OIL,HYPERHIDROSIS,3,7.45,2.28,24.35,FISH OIL + HYPERHIDROSIS
LYRICA,SUICIDAL IDEATION,4,7.43,2.6,21.29,LYRICA + SUICIDAL IDEATION
GAMMAGARD LIQUID,NAUSEA,3,7.43,2.09,26.46,GAMMAGARD LIQUID + NAUSEA
MULTIVITAMINS,HAEMOGLOBIN DECREASED,4,7.42,2.6,21.23,MULTIVITAMINS + HAEMOGLOBIN DECREASED
METFORMIN,WRONG TECHNIQUE IN DRUG USAGE PROCESS,4,7.41,2.62,20.93,METFORMIN + WRONG TECHNIQUE IN DRUG USAGE PROCESS
VITAMIN D3,OEDEMA PERIPHERAL,3,7.4,2.24,24.42,VITAMIN D3 + OEDEMA PERIPHERAL
TECFIDERA,GASTROINTESTINAL DISORDER,4,7.4,2.55,21.45,TECFIDERA + GASTROINTESTINAL DISORDER
FINASTERIDE,MALAISE,3,7.4,2.11,25.89,FINASTERIDE + MALAISE
LEVOTHYROXINE SODIUM,HAEMOGLOBIN DECREASED,3,7.38,2.2,24.77,LEVOTHYROXINE SODIUM + HAEMOGLOBIN DECREASED
LEXAPRO,ABDOMINAL PAIN,4,7.37,2.59,20.94,LEXAPRO + ABDOMINAL PAIN
LEVOTHYROXINE,BLOOD COUNT ABNORMAL,5,7.37,2.9,18.7,LEVOTHYROXINE + BLOOD COUNT ABNORMAL
PARACETAMOL,PYREXIA,9,7.36,3.62,14.96,PARACETAMOL + PYREXIA
ATENOLOL,BLOOD COUNT ABNORMAL,3,7.35,2.25,24.03,ATENOLOL + BLOOD COUNT ABNORMAL
NEURONTIN,DRUG HYPERSENSITIVITY,3,7.34,2.23,24.21,NEURONTIN + DRUG HYPERSENSITIVITY
CETIRIZINE,INSOMNIA,3,7.34,2.21,24.34,CETIRIZINE + INSOMNIA
ZOCOR,INSOMNIA,3,7.34,2.21,24.34,ZOCOR + INSOMNIA
ASPIRIN.,INSOMNIA,3,7.34,2.21,24.34,ASPIRIN. + INSOMNIA
FLOMAX,ASTHENIA,4,7.33,2.53,21.25,FLOMAX + ASTHENIA
ATORVASTATIN,CEREBROVASCULAR ACCIDENT,4,7.31,2.6,20.52,ATORVASTATIN + CEREBROVASCULAR ACCIDENT
METOPROLOL,BLOOD COUNT ABNORMAL,5,7.3,2.88,18.53,METOPROLOL + BLOOD COUNT ABNORMAL
PRILOSEC,ABDOMINAL PAIN,5,7.29,2.86,18.61,PRILOSEC + ABDOMINAL PAIN
ASPIRIN,CEREBRAL HAEMORRHAGE,3,7.29,2.08,25.51,ASPIRIN + CEREBRAL HAEMORRHAGE
ASPIRIN,PLATELET COUNT INCREASED,3,7.29,2.08,25.51,ASPIRIN + PLATELET COUNT INCREASED
ASPIRIN,MELAENA,3,7.29,2.08,25.51,ASPIRIN + MELAENA
ABILIFY,MALAISE,4,7.29,2.46,21.57,ABILIFY + MALAISE
OXYCODONE,DECREASED APPETITE,3,7.29,2.22,23.96,OXYCODONE + DECREASED APPETITE
LETAIRIS,SCLERODERMA,3,7.27,1.21,43.53,LETAIRIS + SCLERODERMA
LETAIRIS,HEAD DISCOMFORT,3,7.27,1.21,43.53,LETAIRIS + HEAD DISCOMFORT
SOLIRIS,FATIGUE,9,7.27,3.4,15.55,SOLIRIS + FATIGUE
SPIRIVA,OFF LABEL USE,9,7.26,3.59,14.71,SPIRIVA + OFF LABEL USE
ALLOPURINOL,RED BLOOD CELL COUNT DECREASED,3,7.26,2.2,24.02,ALLOPURINOL + RED BLOOD CELL COUNT DECREASED
DOXORUBICIN,ANAEMIA,3,7.26,2.12,24.82,DOXORUBICIN + ANAEMIA
HYDROCHLOROTHIAZIDE,HYPERTENSION,3,7.25,2.22,23.73,HYDROCHLOROTHIAZIDE + HYPERTENSION
MULTIVITAMIN,MUSCLE SPASMS,4,7.22,2.57,20.3,MULTIVITAMIN + MUSCLE SPASMS
LISINOPRIL,HAEMORRHAGE,5,7.21,2.84,18.33,LISINOPRIL + HAEMORRHAGE
ONDANSETRON,RASH,3,7.21,2.16,24.08,ONDANSETRON + RASH
CISPLATIN,RASH,3,7.21,2.16,24.08,CISPLATIN + RASH
EVEROLIMUS,HEADACHE,3,7.21,1.98,26.3,EVEROLIMUS + HEADACHE
PREDNISONE,JOINT SWELLING,3,7.2,2.18,23.83,PREDNISONE + JOINT SWELLING
TECFIDERA,ERYTHEMA,9,7.2,3.52,14.72,TECFIDERA + ERYTHEMA
CARVEDILOL,HAEMOGLOBIN DECREASED,4,7.2,2.52,20.55,CARVEDILOL + HAEMOGLOBIN DECREASED
VITAMIN D                          /00107901/,FATIGUE,4,7.2,2.31,22.4,VITAMIN D                          /00107901/ + FATIGUE
VITAMIN B6,FATIGUE,3,7.18,1.94,26.62,VITAMIN B6 + FATIGUE
LANSOPRAZOLE DR CAPSULES 15MG OTC,DIARRHOEA,3,7.18,2.03,25.32,LANSOPRAZOLE DR CAPSULES 15MG OTC + DIARRHOEA
DILAUDID,DIARRHOEA,3,7.18,2.03,25.32,DILAUDID + DIARRHOEA
ZOLOFT,CONSTIPATION,3,7.16,2.19,23.43,ZOLOFT + CONSTIPATION
DIANEAL LOW CALCIUM,HERPES ZOSTER,3,7.14,2.12,24.05,DIANEAL LOW CALCIUM + HERPES ZOSTER
METHOTREXATE,MUSCULAR WEAKNESS,5,7.12,2.81,18.03,METHOTREXATE + MUSCULAR WEAKNESS
GILENYA,FALL,4,7.12,2.5,20.29,GILENYA + FALL
TECFIDERA,GASTROOESOPHAGEAL REFLUX DISEASE,4,7.12,2.46,20.57,TECFIDERA + GASTROOESOPHAGEAL REFLUX DISEASE
ARANESP,HAEMOGLOBIN DECREASED,5,7.11,2.78,18.19,ARANESP + HAEMOGLOBIN DECREASED
TRAMADOL,DECREASED APPETITE,3,7.11,2.16,23.33,TRAMADOL + DECREASED APPETITE
PRILOSEC,CONTUSION,3,7.1,2.17,23.24,PRILOSEC + CONTUSION
ASPIRIN,RED BLOOD CELL COUNT DECREASED,6,7.1,2.93,17.25,ASPIRIN + RED BLOOD CELL COUNT DECREASED
OXYGEN.,DYSPNOEA,5,7.1,2.52,19.99,OXYGEN. + DYSPNOEA
ZOMIG,HEADACHE,5,7.1,2.61,19.34,ZOMIG + HEADACHE
ALLOPURINOL,SPLENOMEGALY,4,7.09,2.51,20.03,ALLOPURINOL + SPLENOMEGALY
ALPRAZOLAM,OFF LABEL USE,3,7.07,2.13,23.44,ALPRAZOLAM + OFF LABEL USE
ASPIRIN.,OFF LABEL USE,3,7.07,2.13,23.44,ASPIRIN. + OFF LABEL USE
CARVEDILOL,DRUG INTERACTION,3,7.06,2.14,23.29,CARVEDILOL + DRUG INTERACTION
SYNTHROID,GENERAL PHYSICAL HEALTH DETERIORATION,4,7.03,2.49,19.83,SYNTHROID + GENERAL PHYSICAL HEALTH DETERIORATION
POTASSIUM,DIARRHOEA,8,7.01,3.23,15.2,POTASSIUM + DIARRHOEA
FLOMAX,ANAEMIA,4,6.99,2.41,20.26,FLOMAX + ANAEMIA
TYLENOL,FLUSHING,3,6.99,2.14,22.88,TYLENOL + FLUSHING
VITAMIN C,HAEMOGLOBIN DECREASED,4,6.99,2.45,19.91,VITAMIN C + HAEMOGLOBIN DECREASED
ASPIRIN,HAEMOGLOBIN DECREASED,27,6.97,4.54,10.71,ASPIRIN + HAEMOGLOBIN DECREASED
EFFEXOR XR,DIZZINESS,7,6.95,3.01,16.02,EFFEXOR XR + DIZZINESS
FLOMAX,PLATELET COUNT DECREASED,3,6.94,2.08,23.17,FLOMAX + PLATELET COUNT DECREASED
HYDROCODONE,FALL,3,6.94,2.08,23.17,HYDROCODONE + FALL
AMITRIPTYLINE,HEADACHE,8,6.94,3.14,15.32,AMITRIPTYLINE + HEADACHE
